ensembl	symbol	IPC-DMSO-A	IPC-DMSO-B	IPC-DMSO-C	IPC-DMSO-D	IPC-GiB-A	IPC-GiB-B	IPC-GiB-C
ENSG00000000003	TSPAN6	745	975	569	865	565	596	689
ENSG00000000419	DPM1	1658	2169	1303	1664	1208	1296	1383
ENSG00000000457	SCYL3	289	413	269	347	221	234	276
ENSG00000000460	C1orf112	930	1108	704	990	747	702	827
ENSG00000000971	CFH	71	160	115	162	74	68	122
ENSG00000001036	FUCA2	4908	6592	3793	5420	3566	3839	4603
ENSG00000001084	GCLC	1563	2078	1131	1634	1113	1236	1353
ENSG00000001167	NFYA	1799	2383	1291	1943	1327	1353	1572
ENSG00000001460	STPG1	375	591	325	472	341	334	370
ENSG00000001461	NIPAL3	3311	4653	2724	4000	2515	2802	2849
ENSG00000001497	LAS1L	1908	2532	1513	2127	1483	1707	1672
ENSG00000001561	ENPP4	2	0	0	1	0	0	0
ENSG00000001617	SEMA3F	88	98	89	97	50	68	75
ENSG00000001626	CFTR	3	11	3	4	3	6	7
ENSG00000001629	ANKIB1	3770	5169	3154	4764	3058	3278	3331
ENSG00000001630	CYP51A1	17272	23670	13711	19616	13114	14317	15325
ENSG00000001631	KRIT1	1642	2292	1401	1988	1479	1521	1721
ENSG00000002016	RAD52	456	628	347	545	360	395	437
ENSG00000002330	BAD	690	928	527	881	501	564	638
ENSG00000002549	LAP3	5407	7267	4157	5879	4057	4376	4732
ENSG00000002586	CD99	8323	11337	6743	9198	5865	6465	6833
ENSG00000002587	HS3ST1	96	97	63	97	59	73	69
ENSG00000002726	AOC1	2	1	0	0	0	0	2
ENSG00000002745	WNT16	5	2	4	2	2	1	4
ENSG00000002746	HECW1	192	229	118	200	117	122	153
ENSG00000002822	MAD1L1	6737	9219	5182	7534	4993	5257	6265
ENSG00000002834	LASP1	5413	7340	4343	6343	4142	4434	4570
ENSG00000002919	SNX11	1112	1535	839	1232	761	907	1014
ENSG00000003056	M6PR	10047	13749	7743	11233	7409	8084	8943
ENSG00000003096	KLHL13	435	601	328	483	338	337	398
ENSG00000003137	CYP26B1	7	7	7	7	4	6	6
ENSG00000003147	ICA1	471	483	309	458	330	282	383
ENSG00000003249	DBNDD1	564	750	452	689	401	452	376
ENSG00000003393	ALS2	1119	1497	713	1407	637	1039	1158
ENSG00000003400	CASP10	209	317	197	256	202	198	208
ENSG00000003402	CFLAR	1404	1994	1117	1659	1138	1237	1379
ENSG00000003436	TFPI	59	82	59	85	44	51	49
ENSG00000003509	NDUFAF7	486	675	407	549	332	371	405
ENSG00000003756	RBM5	2039	2653	1611	2235	1548	1586	1858
ENSG00000003987	MTMR7	73	118	50	97	50	60	45
ENSG00000003989	SLC7A2	1700	2424	1492	2127	1492	1580	1611
ENSG00000004059	ARF5	2805	3840	2351	3386	2104	2197	2297
ENSG00000004139	SARM1	821	1202	708	1111	642	750	876
ENSG00000004142	POLDIP2	4738	6260	3527	5342	3385	3865	4182
ENSG00000004399	PLXND1	308	475	353	426	279	309	271
ENSG00000004455	AK2	7468	11208	6355	9038	6131	6651	7419
ENSG00000004468	CD38	4	4	1	4	1	4	3
ENSG00000004478	FKBP4	7766	10506	6051	8507	5696	6578	6857
ENSG00000004487	KDM1A	3482	4771	2832	4081	2638	2900	3123
ENSG00000004534	RBM6	2371	2960	1875	2582	1653	1743	2032
ENSG00000004660	CAMKK1	279	384	221	315	212	241	289
ENSG00000004700	RECQL	3669	5035	2940	4235	2993	3034	3347
ENSG00000004766	VPS50	547	861	412	614	407	543	470
ENSG00000004776	HSPB6	17	16	10	20	6	7	14
ENSG00000004777	ARHGAP33	1255	1601	1057	1367	830	863	965
ENSG00000004779	NDUFAB1	1993	2569	1592	2146	1407	1573	1809
ENSG00000004799	PDK4	171	194	112	178	115	143	117
ENSG00000004809	SLC22A16	2	3	1	1	3	0	1
ENSG00000004838	ZMYND10	13	13	13	2	6	5	7
ENSG00000004846	ABCB5	7850	11048	6369	9159	6825	6979	7417
ENSG00000004848	ARX	4	11	3	2	6	5	6
ENSG00000004864	SLC25A13	4686	6491	3817	5435	3684	3875	3947
ENSG00000004866	ST7	1464	1959	1111	1749	1173	1259	1308
ENSG00000004897	CDC27	5158	7188	4240	5947	4285	4413	4761
ENSG00000004939	SLC4A1	1	1	2	3	1	0	0
ENSG00000004961	HCCS	1523	2009	1131	1575	1080	1229	1232
ENSG00000004975	DVL2	1317	1995	1040	1485	1121	1186	1348
ENSG00000005001	PRSS22	1	0	0	0	2	0	5
ENSG00000005007	UPF1	6131	9923	5304	7805	5943	5953	6902
ENSG00000005020	SKAP2	1440	1925	1144	1608	1155	1275	1331
ENSG00000005022	SLC25A5	22361	29751	17820	25080	16446	18141	19712
ENSG00000005059	MCUB	682	898	482	705	432	477	578
ENSG00000005073	HOXA11	180	184	80	170	114	121	111
ENSG00000005075	POLR2J	2133	2943	1639	2371	1508	1635	1804
ENSG00000005100	DHX33	2906	3890	2279	3342	2319	2571	2576
ENSG00000005108	THSD7A	4	5	2	1	0	0	0
ENSG00000005156	LIG3	1437	1914	1079	1651	1121	1172	1222
ENSG00000005175	RPAP3	1206	1584	917	1363	893	985	1075
ENSG00000005187	ACSM3	102	142	86	128	84	87	77
ENSG00000005189	REXO5	95	184	79	132	83	106	107
ENSG00000005194	CIAPIN1	3123	4416	2453	3397	2365	2660	3011
ENSG00000005206	SPPL2B	1041	1401	857	1279	702	838	884
ENSG00000005238	FAM214B	2065	2634	1731	2464	1507	1628	1571
ENSG00000005243	COPZ2	476	671	390	501	348	362	394
ENSG00000005249	PRKAR2B	1334	1789	1133	1532	1087	1148	1118
ENSG00000005302	MSL3	846	1217	694	988	670	691	769
ENSG00000005339	CREBBP	1820	2527	1396	2048	1486	1588	1499
ENSG00000005379	TSPOAP1	2	8	7	7	6	3	7
ENSG00000005421	PON1	1	0	0	1	0	0	0
ENSG00000005436	GCFC2	910	1158	788	967	616	702	718
ENSG00000005448	WDR54	650	937	548	814	471	548	539
ENSG00000005469	CROT	804	1105	637	866	585	651	707
ENSG00000005471	ABCB4	157	203	131	203	107	99	119
ENSG00000005483	KMT2E	2144	3623	2001	2937	2251	1884	2047
ENSG00000005486	RHBDD2	2338	3101	1517	2437	1643	1629	1903
ENSG00000005513	SOX8	28	6	19	21	24	28	15
ENSG00000005700	IBTK	2863	3838	2366	3287	2139	2192	2298
ENSG00000005801	ZNF195	343	422	205	332	179	243	285
ENSG00000005810	MYCBP2	2408	3627	2084	2954	2395	2314	2413
ENSG00000005812	FBXL3	1670	2243	1293	1663	1184	1289	1400
ENSG00000005844	ITGAL	1	0	0	0	0	0	0
ENSG00000005882	PDK2	1001	1262	711	1072	714	760	778
ENSG00000005884	ITGA3	945	1297	949	1156	677	773	751
ENSG00000005889	ZFX	1401	1935	1106	1571	1161	1138	1277
ENSG00000005893	LAMP2	11195	15470	9203	13089	8764	9293	9988
ENSG00000005961	ITGA2B	37	48	36	59	30	25	21
ENSG00000005981	ASB4	9	8	6	7	7	11	7
ENSG00000006007	GDE1	1811	2548	1526	2143	1323	1540	1664
ENSG00000006015	REX1BD	732	955	560	828	483	601	646
ENSG00000006016	CRLF1	1	4	2	2	0	4	2
ENSG00000006025	OSBPL7	262	324	190	354	186	229	231
ENSG00000006042	TMEM98	2240	2994	1835	2588	1659	1847	2061
ENSG00000006047	YBX2	56	48	23	43	34	26	35
ENSG00000006062	MAP3K14	183	288	144	259	155	156	179
ENSG00000006071	ABCC8	1	0	0	0	0	0	0
ENSG00000006118	TMEM132A	26	41	17	30	16	17	18
ENSG00000006125	AP2B1	9982	14150	8525	12378	8192	8943	8870
ENSG00000006128	TAC1	1078	1305	732	866	727	830	1097
ENSG00000006194	ZNF263	763	1082	585	903	581	624	706
ENSG00000006210	CX3CL1	313	376	226	362	203	242	271
ENSG00000006282	SPATA20	697	884	574	804	458	497	637
ENSG00000006283	CACNA1G	0	2	0	0	1	1	0
ENSG00000006327	TNFRSF12A	878	1313	604	896	605	593	879
ENSG00000006377	DLX6	153	148	96	140	104	97	91
ENSG00000006432	MAP3K9	708	963	600	816	594	618	620
ENSG00000006451	RALA	2143	2652	1652	2247	1571	1722	1917
ENSG00000006453	BAIAP2L1	3145	4369	2529	3689	2300	2528	2651
ENSG00000006459	KDM7A	213	317	258	304	240	240	200
ENSG00000006468	ETV1	3827	5376	3200	4631	3030	3304	3311
ENSG00000006530	AGK	1603	2179	1264	1881	1188	1333	1393
ENSG00000006534	ALDH3B1	481	627	386	573	301	355	355
ENSG00000006555	TTC22	0	1	0	0	0	0	0
ENSG00000006576	PHTF2	3382	4755	2860	3963	2775	2778	2853
ENSG00000006607	FARP2	6004	8221	5199	7502	5468	5630	5914
ENSG00000006625	GGCT	1907	2510	1431	1996	1295	1443	1610
ENSG00000006634	DBF4	545	870	590	694	436	548	510
ENSG00000006638	TBXA2R	48	38	15	46	34	44	37
ENSG00000006652	IFRD1	1397	1587	1145	1399	981	1068	1102
ENSG00000006695	COX10	417	583	340	541	343	351	409
ENSG00000006704	GTF2IRD1	718	937	606	833	610	637	641
ENSG00000006712	PAF1	2224	2753	1611	2477	1593	1751	1825
ENSG00000006715	VPS41	3835	5282	3166	4446	2985	3220	3514
ENSG00000006740	ARHGAP44	19	12	9	9	14	8	11
ENSG00000006744	ELAC2	2586	3505	1944	2833	1924	2044	2171
ENSG00000006747	SCIN	53	49	42	54	23	46	20
ENSG00000006756	ARSD	393	500	299	408	280	293	340
ENSG00000006757	PNPLA4	395	621	339	488	310	310	394
ENSG00000006831	ADIPOR2	5995	8011	4641	6816	4463	4829	5087
ENSG00000006837	CDKL3	21	44	16	39	23	26	15
ENSG00000007038	PRSS21	2	0	0	0	1	0	1
ENSG00000007047	MARK4	1144	1569	943	1438	875	954	981
ENSG00000007062	PROM1	118	154	107	128	92	104	134
ENSG00000007080	CCDC124	7610	10742	5673	8270	5174	5814	6724
ENSG00000007168	PAFAH1B1	3440	4763	2633	3633	2750	2843	3111
ENSG00000007171	NOS2	27	48	30	42	27	26	42
ENSG00000007174	DNAH9	3	8	1	3	1	3	1
ENSG00000007202	KIAA0100	9519	13890	7985	11511	7705	8464	8680
ENSG00000007237	GAS7	6315	8711	4878	7354	4610	4824	5304
ENSG00000007255	TRAPPC6A	513	701	371	537	314	393	464
ENSG00000007264	MATK	186	275	161	218	168	161	165
ENSG00000007314	SCN4A	2	1	0	0	0	2	3
ENSG00000007341	ST7L	170	315	145	233	144	218	174
ENSG00000007350	TKTL1	0	3	2	4	2	3	6
ENSG00000007372	PAX6	25	25	36	37	26	27	30
ENSG00000007376	RPUSD1	1483	2026	1083	1538	1007	1186	1276
ENSG00000007384	RHBDF1	1842	2585	1614	2208	1311	1464	1565
ENSG00000007392	LUC7L	1009	1293	652	1049	771	749	852
ENSG00000007402	CACNA2D2	9	0	0	0	0	0	3
ENSG00000007516	BAIAP3	26	17	12	16	15	11	8
ENSG00000007520	TSR3	1832	2405	1385	2014	1323	1397	1553
ENSG00000007541	PIGQ	1049	1283	785	1215	756	801	896
ENSG00000007545	CRAMP1	1376	1830	1052	1506	981	1105	1140
ENSG00000007866	TEAD3	340	435	316	452	227	300	259
ENSG00000007908	SELE	0	0	0	1	0	0	0
ENSG00000007923	DNAJC11	3423	4571	2619	3746	2609	2875	2976
ENSG00000007933	FMO3	1	2	0	0	1	1	1
ENSG00000007944	MYLIP	719	993	554	844	509	536	646
ENSG00000007952	NOX1	3	3	2	3	2	2	3
ENSG00000007968	E2F2	1067	1434	934	1248	871	878	914
ENSG00000008018	PSMB1	5731	7613	4488	6137	4009	4553	5126
ENSG00000008056	SYN1	0	7	1	3	2	1	5
ENSG00000008083	JARID2	1739	2528	1650	2339	1536	1551	1624
ENSG00000008086	CDKL5	371	527	300	455	278	331	349
ENSG00000008118	CAMK1G	0	4	0	0	0	0	3
ENSG00000008128	CDK11A	1233	1545	875	1208	858	1005	1055
ENSG00000008130	NADK	3826	4994	2832	4311	2700	2981	3129
ENSG00000008196	TFAP2B	4	5	1	4	6	6	8
ENSG00000008226	DLEC1	3	0	0	1	0	2	2
ENSG00000008256	CYTH3	6376	8811	5084	7422	5088	5323	5606
ENSG00000008277	ADAM22	462	601	384	600	336	416	399
ENSG00000008282	SYPL1	7130	9205	5383	7769	5171	5385	5833
ENSG00000008283	CYB561	1384	1796	1132	1586	1029	1048	1162
ENSG00000008294	SPAG9	8993	12775	7632	11031	7468	8045	8162
ENSG00000008300	CELSR3	306	433	238	361	231	271	266
ENSG00000008311	AASS	1561	1814	1309	1695	938	1183	1214
ENSG00000008323	PLEKHG6	3	3	0	3	1	0	7
ENSG00000008324	SS18L2	457	576	327	422	304	325	405
ENSG00000008382	MPND	361	465	279	406	250	277	306
ENSG00000008394	MGST1	1123	1437	829	1228	858	921	1004
ENSG00000008405	CRY1	580	774	506	688	488	530	542
ENSG00000008438	PGLYRP1	6	6	4	1	3	1	6
ENSG00000008441	NFIX	6654	9458	5338	8359	5487	5882	5697
ENSG00000008513	ST3GAL1	1929	2629	1713	2470	1593	1708	1598
ENSG00000008516	MMP25	6	12	5	10	5	3	10
ENSG00000008710	PKD1	1554	2194	1376	1885	1341	1348	1356
ENSG00000008735	MAPK8IP2	801	1005	588	875	553	651	709
ENSG00000008838	MED24	3089	4397	2583	3671	2506	2831	2768
ENSG00000008853	RHOBTB2	1389	1868	1052	1510	1012	1136	1221
ENSG00000008869	HEATR5B	1891	2597	1562	2309	1589	1699	1778
ENSG00000008952	SEC62	2445	3225	1917	2703	1866	2013	2124
ENSG00000008988	RPS20	16936	20603	12899	17653	11248	13123	15195
ENSG00000009307	CSDE1	35649	49123	28419	41206	27679	30380	32088
ENSG00000009335	UBE3C	8984	12481	7164	10426	7231	7759	8167
ENSG00000009413	REV3L	1944	2785	1343	3302	2283	1929	1790
ENSG00000009694	TENM1	190	262	174	263	170	159	181
ENSG00000009724	MASP2	49	66	25	38	19	24	37
ENSG00000009765	IYD	8	13	13	12	11	7	8
ENSG00000009780	FAM76A	580	765	458	634	449	507	514
ENSG00000009790	TRAF3IP3	0	2	0	0	2	1	0
ENSG00000009830	POMT2	659	816	491	748	480	476	653
ENSG00000009844	VTA1	2752	3565	2152	2985	2079	2268	2413
ENSG00000009950	MLXIPL	0	1	1	0	0	1	0
ENSG00000009954	BAZ1B	9961	13875	8060	11412	8097	8717	9272
ENSG00000010017	RANBP9	1944	2705	1599	2330	1657	1697	1820
ENSG00000010030	ETV7	0	0	0	1	0	1	0
ENSG00000010072	SPRTN	830	1048	638	916	637	688	741
ENSG00000010165	METTL13	2405	3154	1785	2528	1790	1922	2108
ENSG00000010219	DYRK4	138	165	117	107	95	96	109
ENSG00000010244	ZNF207	7098	9509	5340	7650	5348	5754	6301
ENSG00000010256	UQCRC1	9808	13030	7720	11024	6974	7554	8365
ENSG00000010270	STARD3NL	1500	1842	1163	1655	1076	1211	1314
ENSG00000010278	CD9	8372	11383	7196	10072	6098	6640	6743
ENSG00000010292	NCAPD2	9134	12045	7413	10878	7200	7893	7814
ENSG00000010295	IFFO1	905	1078	597	894	616	623	652
ENSG00000010310	GIPR	119	149	123	128	96	74	105
ENSG00000010318	PHF7	100	150	77	145	90	109	108
ENSG00000010319	SEMA3G	9	7	6	4	2	11	4
ENSG00000010322	NISCH	1923	2679	1588	2155	1404	1491	1474
ENSG00000010327	STAB1	1	1	0	0	1	0	0
ENSG00000010361	FUZ	396	607	346	491	297	344	381
ENSG00000010404	IDS	2537	3586	2283	3370	2186	2278	2318
ENSG00000010438	PRSS3	0	2	0	2	1	1	1
ENSG00000010539	ZNF200	319	418	255	338	240	259	308
ENSG00000010610	CD4	2	0	0	0	1	0	0
ENSG00000010626	LRRC23	73	130	92	113	52	61	52
ENSG00000010671	BTK	1	6	3	5	0	5	5
ENSG00000010704	HFE	418	552	349	452	348	333	365
ENSG00000010803	SCMH1	1188	1621	934	1380	942	966	962
ENSG00000010810	FYN	4086	5411	3439	4943	3209	3387	3507
ENSG00000010818	HIVEP2	1289	1751	1100	1614	1131	1094	1092
ENSG00000011007	ELOA	4416	5955	3523	4993	3413	3883	4034
ENSG00000011009	LYPLA2	4423	5745	3374	5022	3078	3438	3791
ENSG00000011021	CLCN6	1304	1847	1043	1608	1044	1045	1218
ENSG00000011028	MRC2	125	153	70	79	92	71	84
ENSG00000011052	NME1-NME2	386	642	322	451	253	311	343
ENSG00000011105	TSPAN9	230	339	188	269	153	207	186
ENSG00000011114	BTBD7	847	1158	715	981	794	694	804
ENSG00000011132	APBA3	518	675	424	568	403	353	458
ENSG00000011143	MKS1	461	593	363	544	282	352	315
ENSG00000011198	ABHD5	626	509	493	369	378	451	519
ENSG00000011243	AKAP8L	1451	1827	1128	1518	1187	1343	1530
ENSG00000011258	MBTD1	634	894	481	703	484	613	564
ENSG00000011260	UTP18	3561	4859	2714	3846	2753	2940	3219
ENSG00000011275	RNF216	2753	3588	2036	3093	2108	2205	2341
ENSG00000011295	TTC19	392	610	387	556	437	413	541
ENSG00000011304	PTBP1	16558	22570	12714	18640	12960	13874	15285
ENSG00000011332	DPF1	244	328	187	275	138	180	194
ENSG00000011347	SYT7	0	4	0	3	0	1	1
ENSG00000011376	LARS2	1144	1667	899	1354	899	923	957
ENSG00000011405	PIK3C2A	2904	4005	2401	3629	2465	2609	2552
ENSG00000011422	PLAUR	1270	1623	1020	1383	841	914	967
ENSG00000011426	ANLN	6706	9280	5473	7868	5235	5811	6184
ENSG00000011451	WIZ	4118	5397	3133	4659	3220	3310	3637
ENSG00000011454	RABGAP1	1161	1540	962	1484	911	1037	1021
ENSG00000011465	DCN	8	9	0	14	6	4	17
ENSG00000011478	QPCTL	1535	2156	1362	1881	1188	1368	1480
ENSG00000011485	PPP5C	3219	4805	2564	3693	2316	2634	2741
ENSG00000011523	CEP68	822	997	682	867	569	670	707
ENSG00000011566	MAP4K3	2604	3547	2168	3178	2163	2273	2407
ENSG00000011590	ZBTB32	0	4	0	0	0	0	0
ENSG00000011638	LDAF1	621	839	543	793	526	582	504
ENSG00000011677	GABRA3	74	114	69	102	62	65	74
ENSG00000012048	BRCA1	2552	3665	2197	3195	2272	2367	2371
ENSG00000012061	ERCC1	4044	5374	3079	4490	2933	3113	3522
ENSG00000012124	CD22	110	145	84	129	80	100	77
ENSG00000012171	SEMA3B	27	35	30	32	28	19	23
ENSG00000012174	MBTPS2	2272	3284	1956	2776	1855	2009	2022
ENSG00000012211	PRICKLE3	691	981	639	929	552	651	641
ENSG00000012232	EXTL3	3211	4158	2556	3561	2399	2779	2701
ENSG00000012504	NR1H4	0	1	0	0	0	0	0
ENSG00000012660	ELOVL5	8107	11304	6461	9326	6138	6561	7017
ENSG00000012822	CALCOCO1	769	1093	639	986	612	660	680
ENSG00000012963	UBR7	2214	3094	1762	2630	1768	1954	1943
ENSG00000012983	MAP4K5	1644	2279	1266	1833	1172	1343	1490
ENSG00000013016	EHD3	113	153	62	117	72	91	95
ENSG00000013275	PSMC4	4129	5466	3087	4377	2925	3191	3454
ENSG00000013288	MAN2B2	1345	1852	1017	1514	966	1106	1222
ENSG00000013293	SLC7A14	15	24	13	20	17	9	19
ENSG00000013297	CLDN11	27	76	55	50	25	29	58
ENSG00000013306	SLC25A39	4995	6674	3984	5753	3652	4134	4463
ENSG00000013364	MVP	6392	8316	5239	7222	4590	5017	5289
ENSG00000013374	NUB1	1613	2034	1178	1788	1204	1331	1416
ENSG00000013375	PGM3	2238	2644	1744	2264	1845	1767	2064
ENSG00000013392	RWDD2A	216	264	149	241	178	186	202
ENSG00000013441	CLK1	414	583	345	526	275	376	467
ENSG00000013503	POLR3B	759	1085	623	847	563	681	699
ENSG00000013523	ANGEL1	908	1194	671	1004	659	709	747
ENSG00000013561	RNF14	3432	4539	2744	3742	2580	2739	2902
ENSG00000013563	DNASE1L1	920	1202	713	979	658	700	760
ENSG00000013573	DDX11	1772	2201	1212	1779	1207	1281	1374
ENSG00000013583	HEBP1	2125	2681	1646	2416	1657	1738	1963
ENSG00000013588	GPRC5A	1819	2546	1661	2478	1489	1712	1490
ENSG00000013619	MAMLD1	480	690	402	588	405	390	441
ENSG00000013810	TACC3	5165	6764	3946	5879	3629	4030	4253
ENSG00000014123	UFL1	1921	2630	1623	2320	1599	1675	1807
ENSG00000014138	POLA2	1181	1464	795	1248	880	975	1049
ENSG00000014164	ZC3H3	990	1387	772	1214	820	926	900
ENSG00000014216	CAPN1	6265	8356	4975	7108	4640	5156	5352
ENSG00000014257	ACP3	15	16	5	15	7	11	12
ENSG00000014641	MDH1	9430	12439	7530	10664	7022	7647	7964
ENSG00000014824	SLC30A9	2437	3290	2052	2852	1941	2085	2156
ENSG00000014914	MTMR11	124	188	125	202	117	134	110
ENSG00000014919	COX15	2384	3353	1993	2793	1907	1994	2196
ENSG00000015133	CCDC88C	130	144	106	173	106	123	115
ENSG00000015153	YAF2	447	571	356	462	399	418	431
ENSG00000015171	ZMYND11	2037	2790	1628	2394	1630	1710	1858
ENSG00000015285	WAS	6	11	2	11	1	12	5
ENSG00000015475	BID	808	1004	596	882	584	630	721
ENSG00000015479	MATR3	8482	11795	6742	9719	7092	7278	7965
ENSG00000015532	XYLT2	1063	1518	923	1390	771	934	945
ENSG00000015568	RGPD5	1026	513	915	165	687	831	11
ENSG00000015676	NUDCD3	928	1336	781	1032	813	749	897
ENSG00000016391	CHDH	11	6	9	9	5	10	15
ENSG00000016490	CLCA1	1	0	0	1	0	0	0
ENSG00000016864	GLT8D1	829	1001	620	863	591	622	644
ENSG00000017260	ATP2C1	3512	4973	2929	4038	2812	3004	3327
ENSG00000017427	IGF1	3	0	2	0	2	0	1
ENSG00000017483	SLC38A5	0	0	1	7	2	2	2
ENSG00000017797	RALBP1	6093	8272	5052	7438	4827	5252	5533
ENSG00000018189	RUFY3	2223	3186	1924	2628	1865	2007	2121
ENSG00000018236	CNTN1	413	576	383	586	331	400	380
ENSG00000018280	SLC11A1	11	20	11	15	9	10	9
ENSG00000018408	WWTR1	2866	3985	2442	3637	2323	2380	2396
ENSG00000018510	AGPS	2132	2562	1642	2194	1754	1753	1732
ENSG00000018610	STEEP1	1426	1848	1028	1450	1054	1066	1241
ENSG00000018625	ATP1A2	0	1	0	3	0	1	3
ENSG00000018699	TTC27	1355	1810	1022	1482	1010	1118	1265
ENSG00000018869	ZNF582	39	56	29	36	36	41	55
ENSG00000019102	VSIG2	0	1	1	2	1	0	0
ENSG00000019144	PHLDB1	1584	2063	1287	1836	1313	1290	1321
ENSG00000019186	CYP24A1	20	33	21	38	27	26	20
ENSG00000019485	PRDM11	58	88	56	70	57	58	64
ENSG00000019505	SYT13	0	2	0	2	0	0	0
ENSG00000019549	SNAI2	2540	3441	2045	2836	2105	2255	2306
ENSG00000019582	CD74	27559	38714	21891	31937	19866	21029	22474
ENSG00000019991	HGF	0	0	0	0	0	1	0
ENSG00000019995	ZRANB1	1299	1670	1095	1572	1123	1188	1168
ENSG00000020129	NCDN	2616	3503	2033	2934	2082	2259	2383
ENSG00000020181	ADGRA2	1420	1915	1200	1656	1027	1118	1192
ENSG00000020256	ZFP64	759	1029	562	852	582	634	601
ENSG00000020426	MNAT1	597	789	462	718	472	493	562
ENSG00000020577	SAMD4A	2054	2932	1736	2351	1669	1844	1813
ENSG00000020633	RUNX3	4593	5885	3434	4942	3440	3795	3962
ENSG00000020922	MRE11	1495	2063	1223	1580	1182	1307	1377
ENSG00000021300	PLEKHB1	17	37	20	58	9	5	26
ENSG00000021355	SERPINB1	810	1044	639	904	634	679	724
ENSG00000021574	SPAST	1067	1421	814	1275	832	918	993
ENSG00000021645	NRXN3	194	242	159	210	153	127	141
ENSG00000021762	OSBPL5	689	860	493	803	473	490	501
ENSG00000021776	AQR	841	1462	846	1189	927	845	888
ENSG00000021826	CPS1	973	1390	817	1219	836	807	996
ENSG00000022267	FHL1	314	489	268	461	269	282	238
ENSG00000022277	RTF2	4234	5616	3166	4710	3038	3422	3777
ENSG00000022355	GABRA1	0	0	0	0	0	1	0
ENSG00000022556	NLRP2	224	337	195	274	178	162	179
ENSG00000022567	SLC45A4	404	564	311	455	358	409	371
ENSG00000022840	RNF10	6157	8133	4891	7213	4628	4994	5242
ENSG00000022976	ZNF839	183	270	166	226	160	162	185
ENSG00000023041	ZDHHC6	1992	2482	1561	2034	1451	1543	1679
ENSG00000023171	GRAMD1B	1	2	2	0	3	0	1
ENSG00000023191	RNH1	6634	8896	5148	7600	4839	5447	5766
ENSG00000023228	NDUFS1	5647	7750	4393	6510	4375	4673	4985
ENSG00000023287	RB1CC1	3088	4104	2702	3728	2608	2810	2741
ENSG00000023318	ERP44	1807	2530	1435	2003	1372	1426	1633
ENSG00000023330	ALAS1	2022	2780	1676	2390	1531	1764	1902
ENSG00000023445	BIRC3	75	94	74	98	52	69	56
ENSG00000023516	AKAP11	3069	4409	2582	3683	2633	2769	2980
ENSG00000023572	GLRX2	503	694	432	495	377	378	486
ENSG00000023608	SNAPC1	560	743	463	628	422	534	478
ENSG00000023697	DERA	1989	2743	1570	2214	1515	1695	1806
ENSG00000023734	STRAP	7050	9438	5749	8021	5257	5880	6363
ENSG00000023839	ABCC2	2989	4129	2354	3462	2270	2420	2851
ENSG00000023902	PLEKHO1	836	1115	651	1004	659	691	693
ENSG00000023909	GCLM	1173	1637	959	1332	963	1039	1075
ENSG00000024048	UBR2	1640	2466	1467	2104	1411	1561	1581
ENSG00000024422	EHD2	887	1241	761	1119	724	755	713
ENSG00000024526	DEPDC1	3359	4494	2515	3714	2483	2523	2915
ENSG00000024862	CCDC28A	485	649	376	531	448	446	400
ENSG00000025039	RRAGD	3999	5249	3254	4638	3239	3330	3458
ENSG00000025156	HSF2	609	792	521	716	487	564	557
ENSG00000025293	PHF20	2076	2960	1844	2665	1806	1937	1877
ENSG00000025423	HSD17B6	30	46	32	31	27	26	28
ENSG00000025434	NR1H3	92	158	85	123	72	77	81
ENSG00000025708	TYMP	1985	2490	1489	2096	1324	1461	1588
ENSG00000025770	NCAPH2	3607	4737	2908	3999	2710	2834	3049
ENSG00000025772	TOMM34	3946	5140	3047	4362	2981	3192	3420
ENSG00000025796	SEC63	6257	8928	5434	7629	5238	5701	5830
ENSG00000025800	KPNA6	4428	6180	3720	5036	3600	3945	4036
ENSG00000026025	VIM	251491	336152	200118	290775	186449	200097	202844
ENSG00000026103	FAS	142	273	100	175	80	141	113
ENSG00000026297	RNASET2	438	483	328	541	301	337	335
ENSG00000026508	CD44	22290	30559	17715	25871	18348	18394	19518
ENSG00000026559	KCNG1	220	309	185	227	174	156	207
ENSG00000026652	AGPAT4	434	536	340	535	321	349	362
ENSG00000026751	SLAMF7	7381	10001	5158	7568	5571	5841	6860
ENSG00000026950	BTN3A1	1072	1563	832	1405	927	983	1084
ENSG00000027001	MIPEP	1005	1382	882	1256	828	821	921
ENSG00000027075	PRKCH	304	444	266	379	246	290	295
ENSG00000027697	IFNGR1	1165	1487	921	1215	880	936	986
ENSG00000027847	B4GALT7	464	602	388	515	344	364	376
ENSG00000027869	SH2D2A	17	10	7	12	8	12	8
ENSG00000028116	VRK2	1022	1345	878	1220	766	896	1004
ENSG00000028137	TNFRSF1B	36	58	24	44	31	18	19
ENSG00000028203	VEZT	322	329	271	404	191	206	279
ENSG00000028277	POU2F2	19	15	11	13	5	11	9
ENSG00000028310	BRD9	827	1095	630	935	635	739	694
ENSG00000028528	SNX1	4204	5709	3284	4657	2959	3248	3536
ENSG00000028839	TBPL1	564	834	432	631	441	486	480
ENSG00000029153	ARNTL2	555	713	446	556	448	426	483
ENSG00000029363	BCLAF1	7243	10122	5940	8430	6367	6780	7476
ENSG00000029364	SLC39A9	1470	2105	1206	1784	1221	1247	1321
ENSG00000029534	ANK1	0	0	1	0	2	0	0
